artist_a,artist_b
4510,243527
12299,520408
11619,898623
71102,276636
4510,238351
4510,391494
12779,23980
6242,39407
12299,114474
130626,195069
3250,20673
813,34087
3467,123477
18,4541
6242,81789
42495,282964
24246,130626
81946,1105709
2230,81790
51208,1354139
2230,246031
1786,4508
1954,2943
12299,438914
11619,1144113
39407,81789
422310,1768984
24246,50393
44972,188690
42374,176234
4531,172285
4531,172730
39407,375136
37740,360960
1644,1812
387,109309
32266,192850
3250,107904
37740,192850
37904,202255
37904,362337
37904,512987
37904,849007
10081,293057
37904,1064858
37740,220230
1663,42375
23678,239761
12600,74007
172285,172730
53703,135472
37904,1102618
3250,37273
42495,250791
42495,250790
236,189398
71102,497385
236,91506
32266,225653
42495,271579
42495,271305
30569,104288
32266,117885
11568,1547412
14369,1354139
14369,163105
14369,51208
6242,375136
6242,368250
32266,1768984
71102,508744
4531,518524
12299,444824
2230,130626
6083,46047
71102,192850
6083,11558
71102,354262
32266,662273
30049,486971
14199,238569
42372,42373
32266,662272
30049,50697
1743,262947
964,161357
9160,95459
1629,373456
4510,71102
4510,60490
138,327210
30049,59694
53703,1744689
11619,63896
4510,125789
12299,360960
2333,41202
312,38102
6081,11558
1645,47784
37740,303191
1473465,1743407
5436,246031
1786,3415
123030,208184
33980,2567362
30569,1601648
1645,59160
423536,918388
5436,31296
11078,48489
744173,2164837
1803,20291
2230,5436
33855,746400
56643,302783
1051,21671
746400,1208281
5198,33453
37740,442305
5509,2514659
5040,378523
43631,109309
37740,358091
51208,163105
5509,23960
11062,97062
2230,31296
10284,503199
43631,208183
37740,832205
12127,248828
1038,11078
5040,241759
6080,12078
12299,271572
4688,528815
24340,311807
18,233
2230,195069
71102,243079
37740,400212
2122,172502
7499,2610778
3417,360945
32266,249587
6083,423536
46320,63862
6083,208186
9693,11741
387,79287
42495,756615
12299,199110
23678,276202
12686,37916
1119,2626
32266,422310
12724,225998
173157,1074324
9509,43631
9509,109309
11991,2556229
12230,22839
9509,208183
32266,436291
6081,81496
6083,208187
42495,618372
23678,439743
105082,153756
1644,6083
132,9160
42495,1768984
42495,1000789
32266,400212
9999,276671
1743,3415
32266,421260
37415,443388
12299,220230
20291,366487
105832,843387
4510,10211
48274,82099
12299,236804
32266,358966
12230,21079
1165,125737
11558,15689
42495,436291
2461,3415
2644,606261
105903,729310
37740,236804
11558,81496
4510,9716
1806,351364
23678,275823
9971,31429
1679,1127826
42495,421260
23678,271226
233,4541
11558,47879
23159,307126
11991,38905
32266,271305
6083,8852
32266,618372
34787,41173
1460,562525
32266,520408
22077,130626
10032,95663
109745,223384
37740,243079
4508,151481
109309,208183
525998,668297
31442,459244
1515,1574661
37740,238358
3250,815850
405288,461688
109309,320014
32266,391592
2230,45451
298,39643
31296,246031
42372,2490779
32266,41094
36913,121686
36913,44069
1616,1889082
32266,42495
98,232042
32266,44109
11368,21240
32942,46320
1786,1816208
964,1248001
253,675750
253,1605
23678,41868
1515,70799
3455,895928
98,466846
209911,637863
32266,242340
6083,918388
298,503239
298,2839599
4309,181363
12299,32266
37740,130808
42495,391592
32266,250790
10081,46947
32266,250791
71102,442305
32266,60490
16187,409206
127540,130626
2784,47636
21240,35574
16489,857391
16489,857390
33349,45388
6436,379512
16187,531025
12299,48153
21791,284175
1605,675750
3557,33440
16489,857389
16489,30763
16187,572193
3641,79499
3641,404810
1605,21724
21671,233931
11523,114772
33134,80021
11523,377830
4508,10565
21662,1908567
37740,71102
11523,2869638
86912,117972
2116,11078
16489,257023
3418,1637583
16410,1404410
71102,832205
89376,1829445
1515,87241
77988,2829773
387,378081
42495,192850
3250,334455
42495,225653
1051,233931
12299,60490
3415,404810
991,665669
41994,43550
